CUSIPs,yields,CPR,prices,,,,,,,,,,
3138XYXM1,5.235,6.883802618,95.44570452,,,,,,,,,,
3140JJJH3,5.181,9.626267284,91.74611637,,,,,,,,,,
3140H5X97,5.233,6.883802618,94.21016361,,,,,,,,,,
3140JJJT7,5.117,5.523592718,88.713713,,,,,,,,,,
3138A7EV6,5.086,6.883802618,96.4909668,,,,,,,,,,
3138Y6A87,7.967,6.127327767,92.56729351,,,,,,,,,,
3138WMSP7,5.128,6.127327767,92.98574855,,,,,,,,,,
3138LRAF9,5.136,5.39829934,90.65755891,,,,,,,,,,
3138AWAC7,5.087,6.127327767,93.49656851,,,,,,,,,,
3138X4PP9,5.277,6.883802618,95.78929656,,,,,,,,,,
3138YEV95,5.125,6.883802618,95.44908465,,,,,,,,,,
3138YNA80,5.096,6.883802618,94.72610299,,,,,,,,,,
3138XKTD6,5.633,6.127327767,92.98574855,,,,,,,,,,
3138WNLA5,5.157,5.39829934,90.29811946,,,,,,,,,,
3138Y3WS6,5.079,6.127327767,92.56729351,,,,,,,,,,
3140JVFU1,5.14,6.883802618,93.76743072,,,,,,,,,,
3140K32T8,5.208,4.606141635,83.59648474,,,,,,,,,,
3138AMN76,5.224,6.883802618,96.07215699,,,,,,,,,,
3138Y6TU8,5.16,6.127327767,92.56729351,,,,,,,,,,
3138Y8KD1,5.087,6.883802618,94.87919128,,,,,,,,,,
3138X6VJ1,5.126,6.127327767,92.98349467,,,,,,,,,,
3140FDSX5,5.182,6.127327767,91.93232137,,,,,,,,,,
3138W2DZ5,5.101,5.39829934,90.30653365,,,,,,,,,,
3140EBQ46,5.077,6.127327767,91.89959416,,,,,,,,,,
3138XKPA6,5.19,6.127327767,92.57856773,,,,,,,,,,
3140FVRR9,5.067,6.883802618,94.18195952,,,,,,,,,,
3138YK7K3,5.073,5.39829934,88.78325725,,,,,,,,,,
3138YHWW6,5.191,6.127327767,91.89959416,,,,,,,,,,
3138YXYK5,5.236,6.127327767,91.89959416,,,,,,,,,,
3140KKKW3,5.177,3.998832117,79.7425619,,,,,,,,,,
3140JYUG9,5.269,5.39829934,87.14982384,,,,,,,,,,
3138LV7M9,5.177,5.39829934,90.66110674,,,,,,,,,,
3140JYWJ1,5.135,4.606141635,83.59648474,,,,,,,,,,
3140K36Y3,5.238,5.39829934,87.38828297,,,,,,,,,,
3140FNQS6,5.246,6.883802618,94.45799552,,,,,,,,,,
3140LPCQ3,5.07,3.998832117,79.52225791,,,,,,,,,,
3140L0YM3,5.237,6.403389744,90.57576737,,,,,,,,,,
3140JMUJ9,5.046,6.127327767,90.55200011,,,,,,,,,,
3140JHRJ4,5.14,6.127327767,91.11945367,,,,,,,,,,
3140E96V3,5.236,6.127327767,91.5325425,,,,,,,,,,
3140FCZF8,5.273,6.883802618,94.44585351,,,,,,,,,,
31416NJB9,5.292,6.883802618,96.48830216,,,,,,,,,,
3140L37F2,5.224,5.830688467,86.89021044,,,,,,,,,,
3140K83L3,5.149,5.39829934,87.27795955,,,,,,,,,,
3140H8DK8,5.166,6.883802618,93.95065606,,,,,,,,,,
3138AGUS5,5.218,6.127327767,93.13436378,,,,,,,,,,
3138ECCZ4,5.084,6.883802618,95.79862332,,,,,,,,,,
3140F1DJ8,5.132,4.606141635,85.21488384,,,,,,,,,,
3140FCH84,5.063,4.606141635,86.36772139,,,,,,,,,,
3138X3NF5,5.397,6.127327767,92.98574855,,,,,,,,,,
3138M4PX4,5.317,6.883802618,95.80374983,,,,,,,,,,
3138MA6S2,5.186,5.39829934,90.65755891,,,,,,,,,,
3138EA7G6,5.09,6.127327767,93.13436378,,,,,,,,,,
3140H7MV6,5.207,6.883802618,94.21016361,,,,,,,,,,
3138MLTE4,5.137,6.127327767,93.13436378,,,,,,,,,,
3138XKNS9,5.194,6.883802618,95.44908465,,,,,,,,,,
3140FDQY5,5.032,5.39829934,88.47335269,,,,,,,,,,
31419JXX1,5.058,6.883802618,96.48830216,,,,,,,,,,
3138YPH62,5.192,6.127327767,91.90766186,,,,,,,,,,
3140GWMY6,5.257,6.883802618,94.21686506,,,,,,,,,,
3138EB3K9,5.274,6.883802618,95.80748218,,,,,,,,,,
3140K1VD5,5.138,5.39829934,87.38828297,,,,,,,,,,
3140QNLA8,5.124,5.830688467,86.31963278,,,,,,,,,,
3140KVUQ1,5.114,5.110826022,83.28698773,,,,,,,,,,
3138M1G77,5.23,6.883802618,95.80146999,,,,,,,,,,
3138XSJT5,5.235,6.883802618,95.4489294,,,,,,,,,,
3138E0W54,5.092,6.883802618,96.07119793,,,,,,,,,,
3140FFMT5,5.248,5.39829934,88.451898,,,,,,,,,,
3138W3FJ7,5.249,6.127327767,93.13436378,,,,,,,,,,
3138W57E2,5.06,5.39829934,90.31615777,,,,,,,,,,
3140EVQK6,5.162,6.127327767,91.5325425,,,,,,,,,,
3138W1HZ3,5.382,5.39829934,90.29811946,,,,,,,,,,
3140Q9RY1,5.219,6.883802618,93.95105004,,,,,,,,,,
3138E2RA5,5.139,6.127327767,93.49656851,,,,,,,,,,
3138MGDL6,5.486,6.127327767,93.13436378,,,,,,,,,,
3138AV2Q7,5.041,6.883802618,96.07580343,,,,,,,,,,
3138E6BJ4,5.183,6.127327767,93.51400054,,,,,,,,,,
3138AVTY1,5.15,6.883802618,96.07215699,,,,,,,,,,
3138W1GJ0,5.006,6.127327767,93.13436378,,,,,,,,,,
3138EDXY2,5.107,5.39829934,90.65755891,,,,,,,,,,
3138XUE24,5.202,6.127327767,92.56729351,,,,,,,,,,
3138Y1VP7,5.234,6.127327767,92.56729351,,,,,,,,,,
3140FK3K4,5.154,4.730138273,81.45921121,,,,,,,,,,
3138YFS70,5.045,6.883802618,94.87295562,,,,,,,,,,
3138M7VL6,5.061,6.883802618,95.80374983,,,,,,,,,,
3140QKXQ6,5.1,3.998832117,79.3505399,,,,,,,,,,
3140L6N67,5.183,5.110826022,82.87962886,,,,,,,,,,
3140K5F51,5.102,5.39829934,87.38828297,,,,,,,,,,
31417CJK2,7.26,6.127327767,93.13436378,,,,,,,,,,
3138EDVM0,5.119,6.127327767,93.13436378,,,,,,,,,,
3140JPPW9,5.045,6.127327767,91.11369561,,,,,,,,,,
3140E4UY1,6.405,6.883802618,94.73039658,,,,,,,,,,
3138YFJM7,5.235,6.883802618,95.45192176,,,,,,,,,,
3138WQL83,5.146,5.39829934,90.30653365,,,,,,,,,,
3138MARD2,5.21,5.39829934,90.65755891,,,,,,,,,,
31417Q7L2,5.771,6.127327767,94.36060658,,,,,,,,,,
3138W7PV0,5.201,6.127327767,92.98574855,,,,,,,,,,
3138AUBY2,5.096,6.127327767,93.49656851,,,,,,,,,,
3138XEWU8,5.116,6.127327767,92.56729351,,,,,,,,,,
3138YNZW0,5.206,6.127327767,91.89959416,,,,,,,,,,
3138YR4D7,5.132,6.127327767,91.90766186,,,,,,,,,,
3138YFK45,5.123,6.127327767,91.89959416,,,,,,,,,,
3138EBTH8,5.12,5.39829934,90.65755891,,,,,,,,,,
3140E5V43,5.237,5.39829934,88.451898,,,,,,,,,,
3140FAMW9,5.333,6.883802618,94.45799552,,,,,,,,,,
3138Y6U85,5.145,6.127327767,92.56729351,,,,,,,,,,
3140F0BX1,5.14,6.883802618,94.44585351,,,,,,,,,,
31421ANQ2,5.237,6.883802618,96.4909668,,,,,,,,,,
3138XHRK9,5.17,6.883802618,95.46076326,,,,,,,,,,
3138WG5Q3,5.071,5.39829934,88.48040266,,,,,,,,,,
3138WGR97,5.148,5.39829934,88.48040266,,,,,,,,,,
3138AYRK7,5.114,6.883802618,96.07215699,,,,,,,,,,
3140JNA26,5.086,6.127327767,90.71120378,,,,,,,,,,
3138MHGE7,5.204,6.127327767,93.15021759,,,,,,,,,,
3140FFEN7,5.082,5.39829934,88.451898,,,,,,,,,,
3140F5YP2,5.182,5.39829934,88.451898,,,,,,,,,,
31412USN1,5.171,6.883802618,96.48476747,,,,,,,,,,
3138E0TQ2,5.223,6.883802618,96.07119793,,,,,,,,,,
3138MMGS5,5.01,6.127327767,93.13882384,,,,,,,,,,
3138AM2W4,5.111,6.883802618,96.07215699,,,,,,,,,,
3140E2NW7,5.089,5.39829934,88.78325725,,,,,,,,,,
3140EBME8,5.133,6.127327767,91.52933959,,,,,,,,,,
3138XB3S1,5.194,6.127327767,92.98574855,,,,,,,,,,
3140LP5H1,5.104,5.830688467,86.85924184,,,,,,,,,,
3138APXB9,5.253,6.883802618,96.07580343,,,,,,,,,,
